year,authors,papers,active
2021,"('liqing zhang', 'li niu')",5,31.28787878787879
2021,"('yunhai tong', 'jiangang bai')",5,31.454545454545453
2021,"('rgen schmidhuber', 'kazuki irie')",6,36.974999999999994
2021,"('noah a. smith', 'hao peng')",5,30.477777777777778
2021,"('nikolaos pappas', 'noah a. smith')",7,42.855555555555554
2021,"('nikolaos pappas', 'hao peng')",5,30.53333333333333
2021,"('dani yogatama', 'nikolaos pappas')",5,31.166666666666668
2021,"('dani yogatama', 'noah a. smith')",5,31.11111111111111
2021,"('dani yogatama', 'hao peng')",5,31.033333333333335
2021,"('roy schwartz', 'noah a. smith')",5,31.11111111111111
2021,"('yao wan', 'ye liu')",5,31.214285714285715
2021,"('yao wan', 'philip s. yu')",5,30.608695652173914
2021,"('guotai wang', 'ran gu')",6,37.21008403361345
2021,"('wenhui lei', 'ran gu')",5,31.547619047619047
2021,"('wenhui lei', 'guotai wang')",5,31.127450980392158
2021,"('qun jin', 'yaqi wang')",5,31.458333333333336
2021,"('shuai wang', 'qun jin')",5,31.145833333333336
2021,"('shaoting zhang', 'guotai wang')",5,30.588235294117645
2021,"('bo xu', 'hongfei lin')",6,36.333841463414636
